IDU,#,Utterance,Criteria,ISU,ISU 2nd Level of Abstraction,ISUnum
,,,,,,
“Putting hands out”,8," Erm:: well, I was like oh, putting my hands out, again.",They talk about putting their hands out,“Putting hands out”,,1
,,,,,,
“Imagining a force”,9, Erm::... what else? And I was kind of picturing like a force between my hands.,They talk of imagining a force between their hands for the duration of the suggestion,“Imagining a force”,,2
,10, Okay? And could you see that as an image?,,,,2
,11, Yeah.,,,,2
,19," So when they started moving, did that change what you were imagining or what you're aware of? Or what you're feeling?",,,,2
,20, Erm::... No I was still imagining the same thing.,,,,2
,21," And that was that was all the way until I said, Open your eyes?",,,,2
,22.1, Yeah,,,,2
,,,,,,
“Felt hands being attracted together”,38," Well, I was just... like my hands felt more like they were being attracted like... there was. I don't know.",They talk about feeling their hands being attracted together,“Felt hands being attracted together”,,3
,,,,,,
“Hands moved”,4," I think they moved a little bit like, maybe like.",They talk about their hands moving a small amount,“Hands moved”,,4
,15.2,My hands did move a bit as well.,,,,4
,16," Okay, did they move similar amounts to as they did before?",,,,4
,17," Yeah, I think so.",,,,4
,39, Did it change how your hands felt at all?,,,,4
,40, Um:: It just like they moved more when I when I was.,They talk about their hands moving more when they were imagining the force,“Hands moved more when imagining the force”,,5
,,,,,,
“Surprised by hand movement”,15.1," I was a bit surprised, but I was like... um I was kind of expecting it because of the cognition one.",They talk about being surprised by their hands moving,“Surprised by hand movement”,,6
,,,,,,
“Tried to stay in their head”,22.3,I was trying to stay in my head.,They talk about trying to “stay in their head”,“Tried to stay in their head”,,7
,,,,,,
“Became conscious of experiment”,22.2,I kept being conscious of you speaking though.,They talk about becoming conscious and distracted by the experimenter reading the suggestion,“Became distracted by the experiment”,,8
,23," Okay, so if I hadn't spoken, do you think that would have made it easier?",,,,8
,24," Um::... maybe. Yeah, because I kept coming like back out and then back in. If you know what I mean, I don't know.",,,,8
,25," Can you describe in other words, what you mean by in and out in that context.",,,,8
,26," Like I kept being conscious that I was in an experiment, and then I went back in my head and was trying to imagine.",,,,8
,34, It wasn't every time you spoke. It was just... when I... remembered.,,,,8
,35, So would you say that for some part of it you didn't really remember you were in an experiment?,,,,8
,36, I think maybe that's the wrong word. But um like I became like more conscious of it.,,,,8
,27," So when you're conscious that you're in an experiment, did you stop seeing the images, for example, of the force?",They talk about the distraction affecting their ability to imagine the force between their hands,“Distraction stopped their imagination”,,9
,28," Yeah, it was like it distracted me.",,,,9
,31," So to recap, your imagination of the force ceased when you kind of came out, and were thinking about the experiment, and then, when you were back in it, kind of reappeared.",,,,9
,32, Yeah.,,,,9
