"Participant 3, Suggestion 1 (Scored 2/5)",,,,,
Speaker,#,Utterance,Moment,IDU,Criteria
P3,8," Erm:: well, I was like oh, putting my hands out, again.",1,"""Putting hanfds out""",Obvious
P3,9, Erm::... what else? And I was kind of picturing like a force between my hands.,2,"""Image""",The utterances describe picturing a force between hands.
Kevin Sheldrake,10, Okay? And could you see that as an image?,2,,
P3,11, Yeah.,2,,
P3,20, Erm::... No I was still imagining the same thing.,2,,
Kevin Sheldrake,21," And that was that was all the way until I said, Open your eyes?",2,,
P3,22, Yeah,2,,
Kevin Sheldrake,23," Okay, so if I hadn't spoken, do you think that would have made it easier?",2,,
Kevin Sheldrake,29, Did you see any other images of any kind? I guess maybe you're imagining the experiment.,2,,
P3,30, Yeah.,2,,
P3,38," Well, I was just... like my hands felt more like they were being attracted like... there was. I don't know.",3,"""Attraction between hands""",The utterances describes a force of attraction before movement
P3,4," I think they moved a little bit like, maybe like.",4,,
Kevin Sheldrake,12, Do you think that had an effect on your hands moving?,4,"""Felt hands move""",The utterances describe an effect of movement.
P3,13," I think, yeah. It did.",4,,
Kevin Sheldrake,14," So when you first noticed your hand start to move, tell me about that. Was there any surprise, or was that normal, natural?",4,,
P3,15, but I was like... um I was kind of expecting it because of the cognition one. My hands did move a bit as well.,4,,
Kevin Sheldrake,16," Okay, did they move similar amounts to as they did before?",4,,
P3,17," Yeah, I think so.",4,,
Kevin Sheldrake,19," So when they started moving, did that change what you were imagining or what you're aware of? Or what you're feeling?",4,,
Kevin Sheldrake,39, Did it change how your hands felt at all?,4,,
P3,40, Um:: It just like they moved more when I when I was.,4,,
,15a," I was a bit surprised,",5,"""Surprise""",The utterance has an emotional response
,22a, I kept being conscious of you speaking though.,6,,
,22b,I was trying to stay in my head.,6,,
P3,24," Um::... maybe. Yeah, because I kept coming like back out and then back in. If you know what I mean, I don't know.",6,"""Focus shifted""",The utterances talk about changing the focus coming back in and out of imagination.
P3,26," Like I kept being conscious that I was in an experiment, and then I went back in my head and was trying to imagine.",6,,
Kevin Sheldrake,27," So when you're conscious that you're in an experiment, did you stop seeing the images, for example, of the force?",6,,
P3,28," Yeah, it was like it distracted me.",6,,
Kevin Sheldrake,31," So to recap, your imagination of the force ceased when you kind of came out, and were thinking about the experiment, and then, when you were back in it, kind of reappeared.",6,,
P3,32, Yeah.,6,,
Kevin Sheldrake,33, And that happened every time I spoke?,6,,
P3,34, It wasn't every time you spoke. It was just... when I... remembered.,6,,
Kevin Sheldrake,35, So would you say that for some part of it you didn't really remember you were in an experiment?,6,,
P3,36, I think maybe that's the wrong word. But um like I became like more conscious of it.,6,,
Kevin Sheldrake,37," So when you were as less aware as you could be in those moments, can you describe how that feels, or what that is like?",6,,
