Table 1,,,,,,
IDU,#,Utterance,Criteria,ISU,ISU 2nd Level of Abstraction,ISUnum
"""Putting hands out""",8," Erm:: well, I was like oh, putting my hands out, again.",Their response to the prompt.,"""Participant put their hands out""",,1
"""Image""",9, Erm::... what else? And I was kind of picturing like a force between my hands.,They imagined a force between their hands upon suggestion.,"""Participant felt a force between their hands""",,2
,10, Okay? And could you see that as an image?,They could picture that force,"""Participants had associated an image to the force""",,2
,11, Yeah.,,,,2
,20, Erm::... No I was still imagining the same thing.,,,,2
,21," And that was that was all the way until I said, Open your eyes?",,,,2
,22, Yeah,,,,2
,23," Okay, so if I hadn't spoken, do you think that would have made it easier?",,,,2
,29, Did you see any other images of any kind? I guess maybe you're imagining the experiment.,,,,2
,30, Yeah.,,,,2
"""Attraction between hands""",38," Well, I was just... like my hands felt more like they were being attracted like... there was. I don't know.",Felt attraction between hands,"""Participant felt their hands pulled together""",,3
"""Felt hands move""",4," I think they moved a little bit like, maybe like.",Hands moved,"""Participants felt movement in their hands.""",,4
,12, Do you think that had an effect on your hands moving?,,,,4
,13," I think, yeah. It did.",,,,4
,14," So when you first noticed your hand start to move, tell me about that. Was there any surprise, or was that normal, natural?",,,,4
,15, but I was like... um I was kind of expecting it because of the cognition one. My hands did move a bit as well.,,,,4
,16," Okay, did they move similar amounts to as they did before?",,,,4
,17," Yeah, I think so.",,,,4
,19," So when they started moving, did that change what you were imagining or what you're aware of? Or what you're feeling?",,,,4
,39, Did it change how your hands felt at all?,,,,4
,40, Um:: It just like they moved more when I when I was.,,,,4
"""Surprise""",15a," I was a bit surprised,",Emotional response,"""Participant felt surprised that their hands moved.""",,6
"""Focus shifted""",22a,I kept being conscious of you speaking though.,Participant remained conscious of speaker,"""Participant was conscious of the experiementers instructions.""",,9
,22b,I was trying to stay in my head.,Participant attempted to maintain focus.,"""Participant tried to focus despite instructions.""","""Participant was able to picture the force when they were not 'distracted' by the experimenter.""",8
,24," Um::... maybe. Yeah, because I kept coming like back out and then back in. If you know what I mean, I don't know.",,,,8
,26," Like I kept being conscious that I was in an experiment, and then I went back in my head and was trying to imagine.",,,,8
,27," So when you're conscious that you're in an experiment, did you stop seeing the images, for example, of the force?",,,,8
,28," Yeah, it was like it distracted me.",,,,8
,31," So to recap, your imagination of the force ceased when you kind of came out, and were thinking about the experiment, and then, when you were back in it, kind of reappeared.",,,,8
,32, Yeah.,,,,8
,33, And that happened every time I spoke?,,,,8
,34, It wasn't every time you spoke. It was just... when I... remembered.,,,,8
,35, So would you say that for some part of it you didn't really remember you were in an experiment?,,,,8
,36, I think maybe that's the wrong word. But um like I became like more conscious of it.,,,,8
