IDU,Suggestion,Participant,#,Utterance,Criteria,ISU,ISU 2nd Level of Abstraction
Engages Imagination,1,P1,5," And you know, just think about the study... and then... I just kind of got more focused... on that and then...",They talk about being focused on the study,“Focus on the study”,“Focused”
,1,P1,33," It was more just... um, I was just more focused on like your instructions, and just that.",They talk about being focused on the instructions in the study,“Focus on the instructions”,
,1,P2,39," But I still kind of had this like... image... like this, like shape in my mind of like my hands coming together.",They talk about having a shape in mind that represents their hands,“Had shape in mind representing their hands”,"“Imagined their hands, but maybe different from actual hands”"
,1,P2,40," Okay, so when you say like a shape, is it that you're aware of your hands and where they were?",,,
,1,P2,41, Yeah,,,
,1,P2,43," Yeah, like I could see them not as much as the first time, but like I kind of have this picture of my hands, and where they are.",,,
,1,P2,44," So in your minds eye, could you see them moving?",,,
,1,P2,45, Yeah,,,
,1,P2,46, And you think that kind of tied up with where your hands actually ended up in reality?,,,
,1,P2,47," Yeah, I think so.",,,
,1,P5,13.2,"I was thinking more like houses, you know. Roofs?",They talk about thinking about houses and their roofs,“Thinking about house roofs”,
,1,P5,14," wooden roofs, some reason.",,,
,1,P5,15," But yeah, it did feel like... I I thought of them more as houses like that, instead of hands, so different to last time.",They talk about thinking of their hands as houses with roofs,"""Thinking of their hands as houses with roofs”",
,1,P5,17, It looks like... like wooden planks of a of a roof... but not not the rest of the house.,,,
,1,P5,4," they they they did feel like they were going like that. [gestures hands coming together at angles where thumbs end up touching but other fingers are further apart, like a triangle shape, where the thumbs are the top corner and the little fingers make the two lower corners]",They talk about feeling that their hands were shaped like house roofs,“Felt like hands were shaped like house roofs”,
,1,P5,13.1," I was seeing them kind of like a little 'cause I could, I could actually feel them going like that [gestures as before with hands making a triangle shape].",,,
,1,P5,5, So wow.,They talk about being surprised about the shape their hands took,“Surprised by hand shape and position”,
,1,P4,32," you can see the you can see like your hand, but also closer to your skin.",They talk about being closer to their skin,“Closer to their skin”,
,1,P4,33," So you get sort of very, very close to sort of how you your hands feel.",,,
,1,P4,34, Closer to like you being that character closer to the skin.,,,
,1,P4,37," Yeah, they're your hands, of course, but you are closer to to to the skin, you know.",,,
,1,P4,38," So would you say, the part of your mind that's controlling your hands? That's moved closer to your hands?",,,
,1,P4,39, Yeah.,,,
,1,P4,43," So you you don't have yourself distant as your hand when you do things, right.",,,
,2,P6,9," and so you had your eyes closed, could you see your hands in your imagination, or was it just black, or?",Talks about imagining their hands,“Imagined their hands”,
,2,P6,10," Yeah, I did.",,,
,2,P6,11, Yeah I did. I did imagine it.,,,
,2,P4,2," So er my, the imagery I got it was like in the... in the line between the palms... right?",They talk about imagining the gap between their palms,“Imagined the gap between their palms”,
,2,P4,3, So it's the it's darker. It's the ledge between the hands... and the the curves of this.,,,
,2,P4,4, Yeah. So that's where what I saw... right?,,,
,2,P4,7, Where they were stuck?,,,
,2,P4,8, Yeah.,,,
,2,P4,10, No it's dark.,,,
,2,P4,12.1, Between the hands.,,,
,2,P4,14," Right... and round the:: with sort of... a little red on the outside, very dark inside.",,,
