IDU,Suggestion,Participant,#,Utterance,Criteria,ISU,ISU 2nd Level of Abstraction
1,2,P2,6," Erm yeah, I was just really trying to like... imagine what you were saying and try like, believe it.",They talk about imagining that their hands were stuck together,“Imagined the suggestion” (with little conviction),“Imagined GDF that was inadequate to meet demands of suggestion”
,2,P2,11," Yeah, I was trying to like, well, I had like a really clear picture of like my hands in my mind. And I was trying to like... imagine them being stuck together...",,,
,2,P2,15," Yeah, but you, but you had a good imagination of them being there?",,,
,2,P2,16, Yes,,,
,2,P2,24, Like I was trying to imagine them being more stuck. --Sorry-- [cross talk] I was trying to imagine them like coming together.,,,
,2,P2,28, Did you have any pictures in your mind's eye that reflected that they weren't stuck?,,,
,2,P2,29," No, I was trying to imagine, like glue in between my hands.",,,
,2,P2,36," I think, cause I was like trying to imagine them with like glue or something between them like actually being stuck together like I just...",,,
,2,P3,6," Erm:: well, I thought I imagined like honey like stuck... [gestures hands stuck] with my hands.",They talk about imagining honey,“Imagined honey”,
,2,P3,12, So of those imaginings could you actually see them in your mind's eye?,,,
,2,P3,13, Yeah.,,,
,2,P3,8," If it had been honey, do you think that would have stopped you if there really was honey there? Do you think that would have stopped you pulling your hands apart?","They talk about the honey, if real, being inadequate to restrain their hands","""Imagined honey inadequate”",
,2,P3,9, No.,,,
,2,P3,30, I was still trying to like picture honey.,They talk about imagining honey again,"""Imagined honey again”",
,2,P7,9," I I didn't imagine that... big like I'm glued now, and I can't move.",They talk about imagining a light kind of stuckness,“Imagined light kind of stuckness”,
,2,P7,10, I was imaging more like the light... the light kind of... stuckness of.,,,
,2,P7,33," I suppose that if I had an image then it would have been an image of, you know, two hands trying to separate. And you know, maybe like... things like kind of stick between them. And kind of you know... like real kind of glue, or something that's kind of... you know... I had that kind of... you know, mental image.",They talk about imagining a prototypical (not associated to themselves) image of two hands stuck together ,“Imagined prototypical stuck hands”,
,2,P7,35, I think the image was more of a prototypical... what two hands stuck together look like for the like... for the typical thought of that. So that's what... was there.,,,
,2,P7,44," I I would imagine now, if there was real glue of some sort, and you were like pulling it, and and it would offer resistance... yeah... It would.",,,
,2,P7,40," On this exercise. On this exercise, I think the the yeah, the three existed like the the prototype... the the phenomenological control reality... like cognition but, like previously in in the one of getting together, I didn't have... a prototypical... image, then, for example, so some something about this one... generated this... you you know this, this image where before...",They talk about how on a previous suggestion (where they felt the effect more) they didn’t have a prototypical image,“No prototypical image on previous suggestion”,
,2,P3,7," Um and when you were saying like tighter and tighter my hands like I was imagining, like rope, or something [gestures wrapping rope around hands] like it was... pushing my hands more.",They talk about imagining rope wrapped around their hands,"""Imagined rope around hands”",“Briefly imagined GDF that would have met the demands of the suggestion”
,2,P3,26.1," Yeah, I think that just it was when you're saying tighter and tighter. That was when... I could picture like the rope. That's what... put it in my head,",,,
,2,P3,10," And if it had really been bound with rope, do you think that would have stopped you pulling your hands apart?","They talk about the rope, if real, being able to restrain their hands","""Imagined rope could restrain hands",
,2,P3,11, Yeah.,,,
,2,P3,26.2,and then it kind of just went. It was just...,They talk about the rope imagery terminating,“Stopped imagining rope”,
,2,P3,27, So the rope image kind of went away before we got to that end point?,,,
,2,P3,28," Yeah, yeah.",,,
,2,P7,12, Not not right from the start.,They talk about the imagining starting after a few sentences of the suggestion,“Started after a few sentences”,
,2,P7,13, Erm:: think it took a few sentences.,,,
,2,P7,36," Whether I compared what was in my mind to that image, possibly... kind of...",They talk about comparing their imagined image of glued hands to their created reality of a little stuckness,“Compared imagination to created reality”,
,2,P7,38.1," I suppose that I did, 'cause I think that was a typical one, was, you know, full of glue in lots of different places, maybe even in the palms of the hands and... you know... and in between the fingers... and in in the... phenomenological control reality of the situation, I felt maybe there's a bit here [gestures fingers together and coming apart and together again].",,,
,3,P1,6," And then once I got kind of more comfortable, I was thinking of what does Happy Birthday actually sound like? ",They talk about trying to recall how Happy Birthday To You sounds,“Remembering what the song sounds like”,
,3,P1,7, I was trying to go over like the the rhythm.,,,
,3,P1,8," And like I was thinking like Oh, how like, how does it go and stuff?",,,
,3,P1,36," Did you ever think, that you could just make it feel real? Or you had the imagined sound in your head and you could kind of shift that in some way so that it would feel as if it was coming from outside?",,,
,3,P1,37," yeah, I mean, I guess so like um::... 'cause. Yeah, I like you say, like I kept. I kept like I... was telling myself like the rhythm, and like how it... like, how it goes and stuff.",,,
,3,P2,4, I started singing it in my head.,They talk about singing the song in their head,“Singing in head”,“Singing in head”
,3,P2,12.4,"and then cause I was singing at my head,",,,
,3,P3,4," Um:::... well, my brain started singing it to myself.",They talk about singing the song inside their head,“Singing inside head”,
,3,P3,7," Yeah, like I could hear my, I don't know if it was myself singing it, but like it was... not... the actual song.",,,
,3,P3,8, Not coming from the room around you or the computer?,,,
,3,P3,9, Yeah.,,,
,3,P3,14, Did you continue to hear that happy birthday to you in your head during the whole exercise? Or did that stop when you kind of recalled that it wasn't going to be playing out loud?,,,
,3,P3,15," Erm... No, it like, went on. I just was singing away my head.",,,
