IDU,Suggestion,Participant,#,Utterance,Criteria,ISU,ISU 2nd Level of Abstraction
Engages Imagination,1,P3,9, Erm::... what else? And I was kind of picturing like a force between my hands.,They talk of imagining a force between their hands for the duration of the suggestion,“Imagining a force”,“Created GDFs in support of the suggestion”
,1,P3,10, Okay? And could you see that as an image?,,,
,1,P3,11, Yeah.,,,
,1,P3,19," So when they started moving, did that change what you were imagining or what you're aware of? Or what you're feeling?",,,
,1,P3,20, Erm::... No I was still imagining the same thing.,,,
,1,P3,21," And that was that was all the way until I said, Open your eyes?",,,
,1,P3,22.1, Yeah,,,
,1,P7,5.2," But then, you said, pulling them together.",,,
,1,P7,6," And somehow we just felt like, yeah, okay, let's just let's like, let's... go with it, you know. Let's... Let let let it happen that I will feel that force kind of situation and.",,,
,2,P5,4, Um:::... I was think... I I was thinking a bit of cement to be honest.,They talk about thinking about cement,“Thinking about cement”,
,2,P5,9," Think I'm thinking a lot about arch architecture today, but it did feel like cement beams like each finger was a cement beam... stuck together.",They talk about their fingers being cement beams,“Fingers are cement beams”,
,2,P5,13," They didn't feel like stuck together like that [gestures fingers straight pointing towards same fingers on opposite hand]. I was thinking about beams like that [gestures hands flat against each other, palms and fingers touching]",,,
,2,P5,16, Maybe there was like a beam for each one.,,,
,2,P5,17, for each stuck pair of fingers.,,,
,2,P5,18, I don't know.,,,
,2,P5,25, i i i imagine the beams is like... beams as themselves like this [gestures two fingers side by side]. Like two of my fingers would be one beam. There wouldn't be like a connection.,,,
,2,P5,19," Okay, would you say that if that thing you were imagining was real, that your fingers couldn't come apart?",They talk about how if the imagined cement beams had been real then their fingers wouldn’t separate,“The imagined cement beams would have prevented fingers separating”,
,2,P5,20, [nods head],,,
,2,P5,26," So it's not really that they're stuck in that sense, it's more that they're part of the same thing.",,,
,2,P5,27," Yeah, they were like the same, the same material.",,,
,2,P5,28," So if that was true, they wouldn't have come apart.",,,
,2,P5,29, No.,,,
,2,P5,5," Um... But also, when when I was thinking of my stuck hands. I wasn't thinking of my palms being stuck more my fingers together, and like the base [gestures palms together].",They talk about their palms not being stuck,“Palms not stuck together”,
,2,P5,10, but not the palms. The palms were more freely to move.,,,
,2,P5,30," And how did that make you feel from a kind of an emotional point of view? Was it intriguing? Was it exciting? Was it boring? Were you nonchalant about it? I mean, how did you feel?",They talk about being nonchalant about the cement beams,“Nonchalant”,
,2,P5,31," I think, like beams-wise, it felt... yeah, nonchalant.",,,
