IDU,Suggestion,Participant,#,Utterance,Criteria,ISU,ISU 2nd Level of Abstraction
Felt Effect,1,P8,16, Its coming from my right hand like pulling the left one to it.,They talk about a force pulling one hand towards another,"""Felt a force pulling left hand towards right""",“Felt a force”
,1,P8,19, That's why I felt like my left hand was getting pulled into my right one.,,,
,1,P10,4," but more about like a sensation like there is a there's a warp hole between my hands,",They experienced an attraction between their hands,"""Felt a force between their hands""",
,1,P10,5, and I feel like a sensation of like a like like air circulation ,,,
,1,P10,13," Did you have that sensation from the beginning, or did that grow? Did that change over time?",,,
,1,P10,14," This... like... after the suggestion, after you're starting to suggest, there's an external force, then the sensation started.",,,
,1,P10,5a,"that is being pulled into the middle between, in in the centre of between my palms,",They experienced a sensation pulling their hands together,"""Their hands were pulled together""",
,1,P10,6, and there's like a certain like attraction.,,,
,1,P10,7, Like suction that's pulling my hands together.,,,
,1,P10,8," But because there's there is a suction is a suction force, so there is like a centre like the eye of the storm.",,,
,1,P10,15, I kind of feel like my I just letting my hands being guided by the suction force.,,,
,1,P10,16, So it's not really like like being pushed just like naturally just close together.,,,
,1,P10,17," Yeah, so you didn't feel like you were pushing them yourself? You felt they were being pulled?",,,
,1,P10,18, Yeah.,,,
,1,P10,19, so did that start pretty much as soon as the sensation of the suction?,,,
,1,P10,20," Yeah, because, yeah.",,,
,1,P10,21," When when I've started to feel the suction, I just let it happen.",They let the force happen,"""Allowed the force to persist""",
,1,P10,31a, and the sensations start starting to happen.,,,
,1,P8,4, they weren't moving at the same time.,They talk about hands not moving at the same time,"""Felt hands were not moving at the same time""",“Felt hands move”
,1,P8,3, I felt like my left hand was moving towards my right one. Not like [mimics hands moving together equally],They talk about left hand moving towards right,"""Felt left hand move towards right hand""",
,1,P8,21, Maybe after the second sentence. Let's see. Yeah.,,,
,1,P8,29, And then you felt the movement?,,,
,1,P8,30, Yeah.,,,
,1,P8,31, I felt I was in in control.,,,
,1,P8,33," I felt like some control like I was controlling this,",,,
,1,P8,36, But just like... so... cause I felt my... as soon as I felt my hands touch each other. ,Their hands touched,"""Hands touched""",
,3,P8,9, even like before you said. Like to raise the volume. I could hear it.,They heard the sounds associated with imagery.,"""Distincly linked sounds and images""",
,3,P8,10,"Then you said to like we started like ranking them. 1, 2, 3, 4, I think.",,,
,3,P8,11, I could hear it,,,
,3,P8,12," I turned it like it just went off like I completely turned the volume off in my head,",,,
,3,P8,23,"but then I couldn't hear it like more loud, like louder at level 4.",,,
,3,P8,24,"Yeah, it wasn't this. Yeah. At level 2, it like, just kept increasing and increasing till it reached level 3, which is its maximum, to me. Yeah.",,,
