IDU,Suggestion,Participant,#,Utterance,Criteria,ISU,ISU 2nd Level of Abstraction
Felt Effect,2,P10,39," I have a... a sensation of the sensation of... combining, binding,",The participant experiences this force of their fingers binding together,"""Senses a force holding hands together""",
,2,P10,41," If you know what I mean, like the wax melting into each other,",,,
,2,P10,5, I feel like it's more like my hands are bonding to each other,,,
,2,P10,6," more kind of like a chemical chemical way,",,,
,2,P10,7," like a bonding, not through like adhesive, but more like the the structure and the material just started to melt together because they are basically me.",,,
,2,P10,8," This is just my body. So you kind of feel like I have a sensation of it started to melting and bonding to each other,",,,
,2,P10,9," but because my hands are not entirely closed,",,,
,2,P10,10, so it's more about like the the point of contact being melted together.,,,
,2,P10,11," And... but there is a resistance of completely like, totally become like a... like, become a whole.",The participant experiences this force between two hands,"""Hands did not merge completely""",
,2,P10,12, My hands were never... turning two into one.,,,
,2,P10,13, It's more about like the contact points have a feeling that... they started to melt together.,,,
,2,P10,14, That is... yeah. I think that's the most... correct way to describe it.,,,
,2,P11,4, I felt the downward pressure.,The participant felt their hand getting heavier on their head,"""Felt the weight of their hand increasing on their head""",
,2,P11,6, because it did feel it was getting heavier.,,,
,2,P11,9, and I was very conscious that it felt as if it was pressing down,,,
,2,P11,10," And the longer... my hand was there,",,,
,2,P11,11, the heavier it felt pressing down.,,,
,2,P11,15, It just felt heavy.,,,
,2,P11,21, Slightly warm.,They experienced a warm feeling in their head,"""Experienced a slight warm feeling""",
,2,P11,22," Yeah, and my head.",,,
,2,P11,23, So it felt sort of like it gave slightly warm feeling.,,,
