IDU,Suggestion,Participant,#,Utterance,Criteria,ISU,ISU 2nd Level of Abstraction
Felt Effect,1,P9,9," because more, I definitely felt things,","They describe, in detail, the force they felt in their hands","""Experienced a magnetic force between their hands""","""Felt a force between their hands"""
,1,P9,14," I felt something kind of that that kind of felt like that I guess sensationally wise,",,,
,1,P9,15, except also kind of drawing closer.,,,
,1,P9,16," But that kind of feeling of something being there, if that makes any sense.",,,
,1,P9,17," So yeah. So I kind of felt I was aware of that feeling from the beginning,",,,
,1,P9,18," but at first kind of like... it I didn't feel as much of an inclination,",,,
,1,P9,19," I was aware, like the sensation beginning to form.",,,
,1,P9,47," And in terms of focusing. What would you say you were focused on? Was it the hands, or the force, or the movement, or the experience?",,,
,1,P9,48," Definitely mostly the force between the hands,",,,
,1,P9,50," it was kind of it was drawing my attention more, I guess.",,,
,1,P9,53," Were the hands moving before you'd quietened down those thoughts,?",,,
,1,P9,54, Not really like.,,,
,1,P9,55," There's a little bit of like sway in my hands, but it's just that,",,,
,1,P9,56," you know, obviously, that when you like, hold your hands out in front of you and everything, you're gonna move a little bit right?",,,
,1,P9,57, Because something. At first it was. It was mostly just kind of that.,,,
,1,P9,60," And so you talked about magnets, was that the only kind of force that you felt?",,,
,1,P9,61," Yeah,",,,
,1,P9,62, that's the only it was. It was. It was the only kind of overwhelming feeling feeling I kind of really kind of noticed.,,,
,1,P9,63," Only other thing I'll say being kind of generally, that you know, as as I mentioned, when you hold your hands up, looking like when you hold your arms up for an extended period. Your arm sort of want to start kind of sinking a bit.",,,
,1,P9,64, So I I was aware of that like mildly.,,,
,1,P9,42, That's kind of when I started to feel notice things more.,,,
,1,P13,21," Yeah, like, that's where like the force was coming from",They felt a force,“Felt a force”,
,1,P13,22, is because someone was pulling that one string,,,
,1,P13,23, I would just pull the other string to close my hands.,,,
,1,P9,20," Then, like as kind of time went on, that kind of sensation got stronger and stronger and stronger",They felt the force get stronger,"""Force grew stronger""","""Force grew stronger"""
,1,P9,49," because as I mentioned as it was kind of getting stronger,",,,
,1,P12,36, It was probably getting sort of stronger as I the longer we went on.,They reported feeling the force get stronger,"""Attractive force got stronger""",
,1,P12,40, And then... it when it got stronger I started thinking about the other thing.,,,
,1,P12,41, That's probably what made more of the impact than the magnet thing.,,,
,1,P12,46, it felt stronger,,,
,1,P12,50, and then it felt stronger.,,,
,1,P12,56, which I maybe is why it felt more.,,,
,1,P12,57," I could feel it more strongly,",,,
,1,P12,3," And again they felt quite light,",They reported their hands feeling ligher,"""Hands got lighter""",“Felt other changes”
,1,P12,4, like my hands were kind of floating,,,
,1,P12,11," I don't think I imagined them first,",,,
,1,P12,12, I think I felt the kind of floatiness first,They reported their hands feeling floaty,"""Hands felt floaty""",
,1,P12,13," Of them feeling really light, if that makes sense,",,,
,1,P12,21," Yeah, kind of like there was wind going through my hands like upwards,",They felt an upward force,"""Felt upward force""",
,1,P12,23, and kind of upwards.,,,
,1,P12,24," Okay, so did that contribute to the feelings of floatiness? Did the hands feel lighter as a result of that?",,,
,1,P12,25," Yeah, probably, I think so actually.",,,
,1,P12,10," They felt my palms felt a little bit like tingly as well, I think.",They report their hands feeling tingly,"""Felt some tingling""",
,1,P9,21," until it was, it was really starting to draw together.",They felt their hands move,"""Movement in their hands""","""Felt hands move"""
,1,P9,24, So. Do you think the hands getting closer together made the force feel stronger? Or do you think that's just consequential of where you were in the exercise?,,,
,1,P9,25," I think the yeah, I think actually, I I do think the closer they got, the more it was like ""ooh"",",,,
,1,P9,59," That's when I definitely noticed, though. Oh, there's actually some movement going on now, you know.",,,
,1,P12,33," I could sense like my hands getting close together more, I think.",They reported that their hands moved closer,"""Hands moved closer""",
,1,P12,45, I think maybe as they got closer,,,
,1,P12,47, cause they could like I could sense the other one... somehow.,,,
,1,P12,48, I don't know if that's the real thing or not.,,,
,1,P12,49," But I felt like I could feel that they were closer together,",,,
,1,P12,51," I think the aura was a good word. I know it's not necessarily a descriptive word as such, but that was kind of well, I could. I could just sense that it was.",,,
,1,P12,52, I could sense its presence like the other hand. I think maybe,,,
,1,P12,53," I was gonna say, maybe a bit colder, but I don't know if I'm sort of imagining that looking back now.",,,
,1,P13,24," And so in terms of your hands, could you feel them move?",They felt their hands move,"""Felt hands move""",
,1,P13,25," Yeah, I could.",,,
,2,P8,35, Were you aware that you were pressing them together?,They were not fully aware of their hands pressed together.,"""Not completely aware that their hands were pressed together""",
,2,P8,36," I would say, like fifty fifty this like last time,",,,
,2,P8,37," like I was aware,",,,
,2,P12,4, I could kind of feel... I could certainly feel it happening.,They felt a force between their hands.,"""Felt a suction between their hands""",
,2,P12,25," Yeah, first thing I sort of... thought was like a... again, kind of similar like suction.",,,
,2,P12,26," So I could feel like my palms,",,,
,2,P12,27," because you know, the shape of your palms is like a gap in the middle bit,]",,,
,2,P12,28," and then I could feel like that kind of sucked... in towards each other,",,,
,2,P12,29," and then, as it went on, I was imagining-slash-feeling kind of almost like chewing gum or honey,",,,
,2,P12,30, or something like I could almost see something sticky that was like,,,
,2,P12,31," or glue, maybe",,,
,2,P12,32, kind of keeping them there once they've sort of sucked in.,,,
,2,P12,11," probably before,",They could feel that their hands were stuck together,"""Their hands felt sticky""","""Experienced stickiness"""
,2,P12,12, but then they did feel quite... stuck together.,,,
,2,P12,13, I could feel like that was that had happened a bit.,,,
,2,P12,38," Yeah, probably.",,,
,2,P12,39a,"as if... it was sticky,",,,
,2,P12,40, but not stuck.,,,
,2,P12,41, so I sort of did it slowly.,,,
,2,P12,42," Yeah, but not like... solid stuck together.",,,
,2,P12,43, I think... warmer and a bit like,,,
,2,P12,44," not wet, but like sweaty almost a little bit.",,,
,2,P12,45, And if that's just from like physically having them together.,,,
,2,P12,46, But I think I could almost feel where I was imagining like a like sticky substance on my hands.,,,
,2,P12,47," I feel like I could almost feel that, like it felt a bit wet,",,,
,2,P12,48," or like...slimy, if that's the word a little bit.",,,
,2,P12,49," I could kind of visualise, I could sort of feel that.",,,
,2,P13,10, But I did feel it,They experienced some stickyness,"""Experienced stickiness""",
,2,P13,11, when I was trying to move it a little bit.,,,
,2,P13,12, My hands weren't like just moving easily or swiftly.,,,
,2,P13,14, So did they feel sticky at all?,,,
,2,P13,15, I think. Yeah.,,,
,2,P13,16, I think it was like a slight sensation.,,,
,2,P13,37, and then it started feeling sticky.,,,
,2,P12,50," The the longer it went on until you said to try and take them apart, the longer it went on, the more I could feel that sort of more strongly",They could feel their hands stuck more strongly.,"""Their hands were stuck more strongly""",Hands felt stuck
,2,P12,51, I could feel them feeling stuck.,,,
,2,P13,25, which is why they were so stuck together.,They experienced their hands being stuck,"""Experienced hands being stuck""",
,2,P8,38, but at the same time I wasn't like... controlling it as much.,They did not have an element of control,"""Did not have full control on their hands""",Stickiness felt automatic
,2,P13,38, You talked before about the hands moving automatically. Was there anything along those lines?,They explain not having an agency of control whilst sticky,"""No control over hands when sticky""",
,2,P13,39," Yeah, like I couldn't.",,,
,2,P13,40, I wasn't easily able to move my hands,,,
,2,P13,41," like I noticed that... what I thought was going to be a much bigger movement, didn't feel like a bigger movement.",,,
,2,P13,42, When you were saying that I couldn't move them.,,,
,2,P13,33," they're a little warmer, actually,",They felt their hands were warmer,"""Felt hands were warmer""",
,2,P13,34, but that's it.,,,
